season,name,profile,team,total_raids,total_tackle,raid_percent_overall,tackle_percent_overall,matches_played,total_points,success_raids,raid_points,success_tackles,tackle_points,avg_raid_points,avg_tackle_points,dod_raid_points,super_raids,super_tackles,super_10s,high_5s,success_raid_percent,success_tackle_percent
1,D. Suresh Kumar,"Defender, right cover",patna-pirates,,,,,12,28,0,0,24,28,0,2.33,0,0,4,0,4,,
2,D. Suresh Kumar,"Defender, right cover",patna-pirates,,,,,16,30,0,0,26,30,0,1.88,0,0,4,0,2,,
3,D. Suresh Kumar,"Defender, right cover",patna-pirates,,,,,12,18,0,0,16,18,0,1.5,0,0,2,0,0,,
4,D. Suresh Kumar,"Defender, right cover",dabang-delhi-kc,,,,,14,19,0,0,19,19,0,1.36,0,0,0,0,0,,
5,D. Suresh Kumar,"Defender, right cover",u-mumba,,,,,5,8,0,0,6,8,0,1.6,0,0,2,0,0,,
1,Dadaso Balaso Awad,All Rounder,dabang-delhi-kc,,,,,5,5,0,0,4,5,0,1,0,0,1,0,0,,
2,Dadaso Balaso Awad,All Rounder,dabang-delhi-kc,,,,,7,17,4,5,10,12,0.83,1.71,2,0,2,0,0,,
5,Darshan J.,"Defender, right cover",tamil-thalaivas,,,,,20,41,0,1,39,40,0,2,0,0,1,0,1,,
6,Darshan J.,"Defender, right cover",tamil-thalaivas,,,,,9,6,0,0,6,6,0,0.67,0,0,0,0,0,,
3,Darshan Kadian,Raider,patna-pirates,,,,,2,2,0,0,2,2,0,1,0,0,0,0,0,,
5,Darshan Kadian,Raider,u-mumba,,,,,16,40,24,33,4,7,2.36,0.44,10,1,3,0,0,,
6,Darshan Kadian,Raider,u-mumba,,,,,14,50,38,49,1,1,3.5,0,14,1,0,1,0,,
7,Darshan Kadian,Raider,puneri-paltan,,,,,7,8,4,7,1,1,1,0.14,1,0,0,0,0,,
5,David Shilisia J Mosambayi,Raider,haryana-steelers,,,,,2,2,1,2,0,0,1,0,0,0,0,0,0,,
6,David Shilisia J Mosambayi,Raider,jaipur-pink-panthers,,,,,4,4,1,4,0,0,1,0,0,0,0,0,0,,
2,Deepak Dhull,"Defender, left cover",bengal-warriors,,,,,8,12,0,1,10,11,0,1.38,0,0,1,0,1,,
3,Deepak Dhull,"Defender, left cover",bengal-warriors,,,,,1,1,0,0,1,1,0,0,0,0,0,0,0,,
2,Deepak Kumar,"Defender, left corner",bengal-warriors,,,,,4,5,0,0,4,5,0,1.25,0,0,1,0,1,,
3,Deepak Kumar,"Defender, left corner",bengal-warriors,,,,,3,4,0,0,3,4,0,1.33,0,0,1,0,0,,
1,Deepak Kumar Dahiya,Raider,bengaluru-bulls,,,,,7,21,15,19,2,2,2.71,0.29,9,0,0,0,0,,
2,Deepak Kumar Dahiya,Raider,bengaluru-bulls,,,,,2,6,3,6,0,0,3,0,4,0,0,0,0,,
3,Deepak Kumar Dahiya,Raider,bengaluru-bulls,,,,,10,37,29,37,0,0,3.7,0,20,3,0,0,0,,
4,Deepak Kumar Dahiya,Raider,bengaluru-bulls,,,,,7,13,8,12,1,1,1.71,0,5,1,0,0,0,,
5,Deepak Kumar Dahiya,Raider,haryana-steelers,,,,,16,78,61,76,2,2,4.75,0.13,38,3,0,1,0,,
6,Deepak Kumar Dahiya,Raider,puneri-paltan,,,,,11,34,26,31,2,3,2.82,0.27,3,1,1,1,0,,
3,Deepak Kumar Rathee,All Rounder,bengaluru-bulls,,,,,14,17,4,6,11,11,0.6,0.79,5,1,0,0,0,,
5,Deepak Kumar Rathee,All Rounder,haryana-steelers,,,,,6,7,3,3,3,4,0.5,0.67,1,0,1,0,0,,
2,Deepak Narwal,Raider,patna-pirates,,,,,16,61,45,57,4,4,3.56,0.25,15,1,0,0,0,,
3,Deepak Narwal,Raider,patna-pirates,,,,,9,33,21,31,1,2,3.88,0,6,0,1,1,0,,
4,Deepak Narwal,Raider,dabang-delhi-kc,,,,,6,13,8,13,0,0,2.17,0,4,1,0,0,0,,
5,Deepak Narwal,Raider,bengal-warriors,,,,,16,87,71,85,2,2,5.31,0.13,25,1,0,4,0,,
6,Deepak Narwal,Raider,patna-pirates,,,,,17,74,55,70,4,4,4.12,0.24,9,1,0,3,0,,
7,Deepak Narwal,Raider,jaipur-pink-panthers,,,,,17,56,44,55,1,1,3.24,0.06,12,0,0,1,0,,
1,Deepak Niwas Hooda,All Rounder,telugu-titans,,,,,14,89,72,87,2,2,6.21,0.14,8,3,0,3,0,,
2,Deepak Niwas Hooda,All Rounder,telugu-titans,,,,,15,96,54,60,32,36,4,2.4,8,1,4,1,3,,
3,Deepak Niwas Hooda,All Rounder,puneri-paltan,,,,,12,76,62,69,7,7,5.75,0.58,21,0,0,1,0,,
